,Year of Car,Make of Car,Model,Price of Car,Location of Car,Kilometers,Diseal/Petrol,Body,Owner
407,2018,Maruti Suzuki,Dzire(2017_2020)  VXI,5.7 Lakhs,Delhi,"72,616 Kms",Petrol,Sedan,1st Owner
408,2016,Hyundai,I10  MAGNA 1.2,3.75 Lakhs,Ghaziabad,"24,970 Kms",Petrol,Hatchback,1st Owner
409,2015,Honda,City  VX CVT PETROL,7.75 Lakhs,Ghaziabad,"52,000 Kms",Petrol,Sedan,1st Owner
410,2015,Honda,Amaze  1.2 SMT I VTEC,5 Lakhs,Ghaziabad,"36,071 Kms",Petrol,Sedan,1st Owner
411,2018,Maruti Suzuki,Vitara Brezza  ZDi+,7.25 Lakhs,Delhi,1.04 Lakhs Kms,Diesel,Hatchback,1st Owner
412,2017,Maruti Suzuki,Ciaz  DELTA 1.4 MT,6.65 Lakhs,Noida,"70,000 Kms",Petrol,Sedan,2nd Owner
413,2018,Hyundai,Creta SX 1.6 AT PETR...,12.49 Lakhs,Noida,"40,000 Kms",Petrol,SUV,1st Owner
414,2018,Hyundai,Creta SX 1.6 AT PETR...,12.49 Lakhs,Noida,"40,000 Kms",Petrol,SUV,1st Owner
415,2012,Honda,Brio  S MT,3.25 Lakhs,Noida,"48,000 Kms",Petrol,Hatchback,1st Owner
416,2014,Maruti Suzuki,Swift  VDI,4.9 Lakhs,Gurgaon,"55,400 Kms",Diesel,Hatchback,1st Owner
417,2008,Maruti Suzuki,Wagon R  LX MINOR,"85,000",Faridabad,"90,000 Kms",Petrol,Hatchback,2nd Owner
418,2010,Hyundai,Santro Xing  GLS,1.5 Lakhs,Gurgaon,"88,000 Kms",Petrol,Hatchback,1st Owner
419,2009,Maruti Suzuki,Wagon R  VXI MINOR,1.1 Lakhs,Delhi,"88,000 Kms",Petrol,Hatchback,1st Owner
420,2018,Maruti Suzuki,Wagon R 1.0  VXI,3.5 Lakhs,Delhi,"62,000 Kms",Petrol,Hatchback,1st Owner
421,2013,Mahindra,Verito  1.5 D2 BS IV,3.35 Lakhs,Faridabad,"95,000 Kms",Diesel,Sedan,1st Owner
422,2013,Hyundai,I20  SPORTZ 1.2 O,,Noida,1.11 Lakhs Kms,Petrol,Hatchback,1st Owner
423,2016,Hyundai,Creta  1.6 VTVT S,8.25 Lakhs,Delhi,"52,000 Kms",Petrol,CompactSUV,1st Owner
424,2017,Maruti Suzuki,Ciaz  ZETA 1.4 AT,7.95 Lakhs,Noida,"35,000 Kms",Petrol,Sedan,1st Owner
425,2016,Mahindra,Xuv 500  W10,11.85 Lakhs,Noida,"35,000 Kms",Diesel,SUV,1st Owner
